"Name","Address","Zip","Amount"
"SPARKY'S                      ","1946 SW MILITARY DR           ",78221,40000
"RUTH'S CHRIS STEAK HOUSE      ","600 E MARKET ST STE L101      ",78205,1005991
"EL MARACUMBE #2               ","1518 AUSTIN HWY STE 17        ",78218,41867
"TACO PALENQUE                 ","1002 NE LOOP 410              ",78209,22540
"OUTBACK STEAKHOUSE            ","12511 W INTERSTATE 10         ",78230,321287
"CLUB ROYAL                    ","4722 RITTIMAN RD              ",78218,207359
"MMI VENTURES LLC              ","849 E COMMERCE ST STE 197     ",78205,874165
"CRUMPETS RESTAURANT & BAKERY  ","3920 HARRY WURZBACH RD        ",78209,79909
"GENGHIS GRILL - THE MONGOLIAN ","11745 W INTERSTATE 10 STE 40  ",78230,31805
"CHILI'S GRILL & BAR           ","11727 BANDERA RD              ",78250,522599
"RIVER CENTER COMEDY CLUB      ","849 E COMMERCE ST STE 893     ",78205,256583
AMERICAN LEGION SESQUINCENTENN,"106 LANARK                    ",78218,107206
EL CHAPARRAL MEXICAN RESTAURAN,"2838 N LOOP 1604 E STE 101    ",78232,240426
"LAST CHANCE LOUNGE            ","4435 RITTIMAN RD              ",78218,91736
"LANDRY'S SEAFOOD HOUSE        ","517 N PRESA ST,1ST-2ND FLOOR  ",78205,1269517
"LUCIANO ON THE RIVER INC      ","849 COMMERCE ST STE 183       ",78205,471292
"CALIFORNIA PIZZA KITCHEN      ","255 E BASSE RD STE 900        ",78209,208476
"EL NUEVO TENAMPA              ","244 W HOUSTON ST              ",78205,25773
"SABOR                         ","6809 N LOOP 1604 W            ",78249,12950
"TACO GARAGE METRO, INC        ","100 N SANTA ROSA ST STE 140   ",78207,33446
"PAESANO'S RIVERWALK           ","111 W CROCKETTSTE 101         ",78205,1289001
"LA POSADA DEL REY             ","999 E BASSE RD STE 183        ",78209,24000
THE CULINARY INSTITUTE OF AMER,"312 PEARL PKWY BLDG 2         ",78215,387433
"CASA GUADALAJARA BAR & GRILL  ","2623 NE LOOP 410              ",78217,74236
"PIZZA HUT                     ","302 VALLEY HI DR              ",78227,125422
"THE SPEEDWAY SPORTS BAR       ","8811 GRISSOM RD               ",78251,388958
"EAGLE GULCH SALOON            ","214 LOSOYA ST                 ",78205,243210
"CARRABBA'S ITALIAN GRILL      ","12507 W INTERSTATE 10         ",78230,556028
"CATERING BY ROSEMARY INC      ","S A CONVENTION CENTER E COMM  ",78205,2498515
"THE CRAZY APE                 ","9930 SAN PEDRO AVE            ",78216,354987
"MARY LOU'S CAFE               ","1002 PLEASANTON RD            ",78214,9794
"LA POSADA DEL REY             ","1896 NACOGDOCHES RD           ",78209,8060
"LONE STAR BAR                 ","5520 RANDOLPH BLVD            ",78233,206650
"CLUB GIRAUD                   ","707 N SAINT MARYS ST          ",78205,595665
"OK WEST                       ","2502 PLEASANTON RD            ",78221,626999
"KIRBY'S STEAKHOUSE            ","123 N LOOP 1604 E             ",78232,1142525
"MAD DOGS SAN ANTONIO          ","123 LOSOYA ST STE 19          ",78205,3640947
"ALLURE LOUNGE                 ","13550 OCONNOR RD STE 4        ",78233,34719
BOURBON STREET SEAFOOD KITCHEN,"24165 W INTERSTATE 10 STE 43  ",78257,230795
"COURTYARD                     ","11605 STATE HIGHWAY 151       ",78251,272707
"THE JOSEPHINE THEATRE         ","339 W JOSEPHINE ST            ",78212,23251
FAST EDDIE'S NEIGHBORHOOD BILL,"502 EMBASSY OAKS              ",78216,677612
"THE MELTING POT SAN ANTONIO   ","14855 BLANCO RD STE 110       ",78216,284381
V F W POST #6012 SECURITY SERV,"4810 S W MILITARY DRIVE       ",78242,238400
"RAFFLES RESTAURANT & BAR      ","1039 NE LOOP 410              ",78209,586597
"CLUB OASIS                    ","8303 S PRESA ST               ",78223,54503
"SALC, INC.                    ","7750 BRIARIDGE DR             ",78230,262642
"TACO CABANA                   ","2908 BROADWAY                 ",78209,63882
"HARDBODIES                    ","2726 N SAINT MARYS            ",78212,252635
"SAGA                          ","8779 WURZBACH RD              ",78240,251573
"CARINO'S ITALIAN GRILL        ","11719 BANDERA RD              ",78250,163667
"SUGARTIME                     ","2730 BILL MILLER LN           ",78223,248941
"CHICAGO BAR                   ","19141 STONE OAK PKWY STE 505  ",78258,543401
"PERFECT 10 MENS CLUB          ","111 NW LOOP 410               ",78216,2228056
JOHN COOTEYS TAVERN AND KITCHE,"8318 JONES MALTSBERGER RD ST  ",78216,418211
"THE GRILL AT LEON SPRINGS, LTD","24116 IH 10 W                 ",78257,1441691
"ROOKIE'S                      ","6402 CALLAGHAN RD             ",78229,491906
DEL FUEGO CHAR GRILL & CANTINA,"2318 N LOOP 1604 W            ",78248,296791
"WILDERNESS OAK DINER          ","20711 WILDERNESS OAK # 113    ",78258,7371
"GRASSHOPPER CLUB              ","8308 MARBACH RD               ",78227,121646
"PETROLEUM CLUB OF SAN ANTONIO ","8620 N NEW BRAUNFELS AVE STE  ",78217,295566
"TOM'S CATS                    ","4922 W MILITARY DR            ",78242,121936
"AUDEN'S KITCHEN               ","700 E SONTERRA BLVD STE 1117  ",78258,37601
"TORREON MEXICAN RESTAURANT    ","513 BANDERA RD                ",78228,240257
THE GOLF CLUB OF TEXAS AT BRIG,"13600 BRIGGS RNCH             ",78245,15963
TEXAS LAND & CATTLE STEAK HOUS,"60 NE LOOP 410                ",78216,479744
"WESTIN RIVERWALK              ","420 W MARKET ST               ",78205,2105713
