Common Name,Scientific Name,Group,State Status,Federal Status
Atlantic Hawksbill Sea Turtle,Eretmochelys imbricata,Reptiles,Endangered,Endangered
Texas Tortoise,Gopherus berlandieri,Reptiles,Threatened,
Cagle's Map Turtle,Graptemys caglei,Reptiles,Threatened,
Chihuahuan Mud Turtle,Kinosternon hirtipes murrayi,Reptiles,Threatened,
Kemp's Ridley Sea Turtle,Lepidochelys kempii,Reptiles,Endangered,Endangered
Northern Cat-eyed Snake,Leptodeira septentrionalis,Reptiles,Threatened,
Smooth Green Snake,Liochlorophis vernalis,Reptiles,Threatened,
Alligator Snapping Turtle,Macrochelys temminckii,Reptiles,Threatened,
Brazos Water Snake,Nerodia harteri,Reptiles,Threatened,
Texas Horned Lizard,Phrynosoma cornutum,Reptiles,Threatened,
Mountain Short-horned Lizard,Phrynosoma hernandesi,Reptiles,Threatened,
Louisiana Pine Snake,Pituophis ruthveni,Reptiles,Threatened,Candidate
Chihuahuan Desert Lyre Snake,Trimorphodon vilkinsonii,Reptiles,Threatened,
