Road,Crosses,Location,Design,Built,Reconstructed,Span-feet,TotalLength,Condition
IH 410 EB,LP 368 CONN P,0.45 MI E OF FM 2252,Prestressed Stringer/Multi-beam or girder (2 spans),1983,--,68.9,173.9,Functionally Obsolete
IH 410 SB FR,SLICK RANCH CREEK,0.4 MI S W OF MILITARY DR,Concrete Slab (7 spans),1983,--,25.9,179.1,Functionally Obsolete
IH 410 NB FR,SLICK RANCH CREEK,0.4 MI S W OF MILITARY DR,Concrete Slab (7 spans),1983,--,25.9,179.1,Functionally Obsolete
JUDSON RD,IH 35 ML,2.05 MI S OF SH 218,Prestressed Box beam or girders - Multiple (2 spans),1984,--,74.2,147,Functionally Obsolete
O'CONNOR RD,IH 35 ML,2.24 MI S OF SH 218,Prestressed Box beam or girders - Multiple (2 spans),1984,--,74.2,147,Functionally Obsolete
CAMP BULLIS BLVD,DRAW,1.60 MI SW OF IH 10,Prestressed Stringer/Multi-beam or girder (3 spans),1984,--,49.9,151.9,Functionally Obsolete
HUNT LANE,DRAINAGE DITCH,0.10 MI N OF MARBACH RD,Concrete Culvert (5 spans),1984,2003,9.8,55.1,Functionally Obsolete
POTRANCO RD,DRAW,0.10 MI N OF CULEBRA RD,Concrete Culvert (3 spans),1984,--,6.9,23,Functionally Obsolete
TEZEL RD,DRAW,0.10 MI N OF BRAUN RD,Concrete Culvert (9 spans),1984,--,7.9,79.1,Functionally Obsolete
TRAVIS ST,SAN PEDRO CREEK,0.01 MI W OF CAMARON ST,Prestressed Box beam or girders - Multiple,1984,--,58.1,58.1,Functionally Obsolete
BINZ ENGLEMAN RD,DRAW,0.5 MI E OF ACKERMAN RD,Concrete Culvert (4 spans),1985,--,4.9,25.9,Functionally Obsolete
BINZ-ENGLEMAN RD,DRAW,1.0 MI E OF ACKERMAN RD,Concrete Culvert (7 spans),1985,--,4.9,39,Functionally Obsolete
BINZ-ENGLEMAN RD,ACKERMAN CREEK,1.0 MI E OF ACKERMAN RD,Concrete Culvert (6 spans),1985,--,4.9,34.1,Functionally Obsolete
FLOYD CURL DR,DRAW,0.20 MI N OF HAMILTON WLF,Concrete Culvert (7 spans),1985,--,6.9,53.2,Functionally Obsolete
GUILBEAU RD,FRENCH CREEK,0.4 MI W OF BANDERA RD,Concrete Slab (5 spans),1985,--,40,182.1,Functionally Obsolete
JONES MALTSBERGER,LORENCE CREEK,0.8 MI S OF THOUSAND OAKS,Prestressed Stringer/Multi-beam or girder (4 spans),1985,--,74.2,443.9,Functionally Obsolete
WEST AVE,ROCK CREEK,0.2 MI S OF JCT LOOP 410,Prestressed Box beam or girders - Multiple (2 spans),1985,--,36.1,75.1,Functionally Obsolete
LP 353/NOGALTOS ST,IH 35,0.40 MI N OF US 90,Prestressed Box beam or girders - Multiple (2 spans),1985,--,116.1,219.2,Functionally Obsolete
LOOP 1604 WB FR,IH 35,IH 35/LP 1604 INTER,Prestressed Stringer/Multi-beam or girder (2 spans),1986,--,80.1,370.1,Functionally Obsolete
LOOP 1604 WB ML,IH 35,IH 35/LP 1604 INTER,Prestressed Stringer/Multi-beam or girder (2 spans),1986,--,80.1,370.1,Functionally Obsolete
LOOP 1604 EB ML,IH 35,IH35/LP 1604 INTER,Prestressed Stringer/Multi-beam or girder (2 spans),1986,--,80.1,370.1,Functionally Obsolete
LP1604 CONN (LP A),IH 35,O.10 MI S OF LOOP 1604,Prestressed Stringer/Multi-beam or girder (2 spans),1986,--,75.1,334,Functionally Obsolete
IH 35 NB COLL & FR,SH 218,0.34 MI S OF LP 1604,Prestressed Stringer/Multi-beam or girder,1986,--,89.9,200.1,Functionally Obsolete
IH 35 NB ML,SH 218,0.50 MI S OF LOOP 1604,Prestressed Stringer/Multi-beam or girder,1986,--,89.9,200.1,Functionally Obsolete
IH 35 SB ML,SH 218,0.50 MI S OF LOOP 1604,Prestressed Stringer/Multi-beam or girder,1986,--,89.9,200.1,Functionally Obsolete
LOOP 1604 EB FR,IH 35,IH 35/LP 1604 INTER,Prestressed Stringer/Multi-beam or girder (2 spans),1986,--,80.1,370.1,Functionally Obsolete
IH 35 NB,SAN PEDRO CREEK & RR,0.55 MI N OF IH 10,Prestressed Stringer/Multi-beam or girder (13 spans),1986,--,100.1,1816,Functionally Obsolete
NEWELL ST,SAN ANTONIO RIVER,0.25 MI W OF IH 37,Concrete Slab (6 spans),1986,--,24.9,152.9,Functionally Obsolete
FM 1560,TRIB OF CULEBRA CREEK,0.20 MI N OF FM 471,Concrete Culvert (6 spans),1986,--,5.9,39,Functionally Obsolete
FM 1560,TRIB OF CULEBRA CREEK,1.27 MI N OF FM 471,Concrete Culvert (5 spans),1986,--,5.9,32.2,Functionally Obsolete
TALLEY RD,DRAW,5.20 MI N OF FM 1957,Concrete Culvert (8 spans),1986,--,7.9,68.9,Functionally Obsolete
TALLEY RD,DRAW,4.60 MI N OF FM 1957,Concrete Culvert (9 spans),1986,--,7.9,80.1,Functionally Obsolete
TALLEY RD,DRAW,2.05 MI N OF FM 1957,Concrete Culvert (3 spans),1986,--,7.9,25.9,Functionally Obsolete
ECKHERT RD,DRAIN,0.20 MI SE OF HUEBNER RD,Concrete Culvert (12 spans),1986,--,9.8,130.9,Functionally Obsolete
FLOYD CURL DR,DRAIN,0.1 MI E OF HUEBNER RD,Concrete Culvert (4 spans),1986,--,9.8,43,Functionally Obsolete
GUILBEAU RD,DRAIN,0.8 MI W OF BANDERA RD,Concrete Culvert (4 spans),1986,--,8.9,38.1,Functionally Obsolete
