Road,Crosses,Location,Design,Built,Reconstructed,Span-feet,TotalLength,Condition
IH 10 WB,SANTA ROSA ST CONN,DOWNTOWN Y I/C,Steel Stringer/Multi-beam or girder (7 spans),1993,--,91.9,546.9,Functionally Obsolete
IH 10 EB ON RAMP,WOODLAWN AVE,0.60 MI N OF SP 421,Prestressed Segmental box girder (5 spans),1993,--,109.9,515.1,Functionally Obsolete
IH 10 EB UL OFF RP,N TRINITY-IH 10 ON RAMP,0.20 MI N OF SP 421,Prestressed Segmental box girder (6 spans),1993,--,105,605,Functionally Obsolete
IH 10 EB UL OFF RP,W POPLAR ST,0.80 MI SE OF SP 421,Prestressed Segmental box girder (9 spans),1993,--,109.9,910.1,Functionally Obsolete
S U-TURN@CALLAGHAN,IH 10,1.55 MI S OF WURZBACH RD,Prestressed Stringer/Multi-beam or girder (2 spans),1993,--,99.1,198.2,Functionally Obsolete
N U-TURN@CALLAGHAN,IH 10,1.45 MI S OF WURZBACH RD,Prestressed Stringer/Multi-beam or girder (2 spans),1993,--,99.1,198.2,Functionally Obsolete
IH 10 WB ON RAMP,SANTA ROSA ST CONN,DOWNTOWN Y I/C,Steel Stringer/Multi-beam or girder (2 spans),1993,--,75.1,212.9,Functionally Obsolete
IH 35 SB OFF RAMP,IH 10 WB,DOWNTOWN Y I/C,Steel Stringer/Multi-beam or girder (6 spans),1993,--,90.9,474.1,Functionally Obsolete
SP 53 (UTSA BLVD),IH 10,1.08 MI S OF LP 1604,Prestressed Box beam or girders - Multiple (2 spans),1994,--,105,210,Functionally Obsolete
IH 10 WBFR T/A,IH 10,1.10 MI S OF LP 1604,Prestressed Box beam or girders - Multiple (2 spans),1994,--,105,210,Functionally Obsolete
CALLAGHAN RD,IH 10,1.5 MI S OF WURZBACH RD,Prestressed Stringer/Multi-beam or girder (2 spans),1994,--,120.1,240.2,Functionally Obsolete
SP 345 / FRED. RD.,IH 410,0.60 MI SW OF IH 10,Prestressed Box beam or girders - Multiple (2 spans),1994,--,106,211,Functionally Obsolete
BEECH TRAIL DR,DRAW,0.45 MI S OF ELM TRAIL DR,Concrete Culvert (4 spans),1995,--,7.9,35.1,Functionally Obsolete
LP 1604 EB,HAUSMAN RD,1.48 MI NE OF SH 16,Prestressed Stringer/Multi-beam or girder (3 spans),1995,--,125,325.1,Functionally Obsolete
LP 1604 WB,HAUSMAN RD,1.48 MI NE OF SH 16,Prestressed Stringer/Multi-beam or girder (3 spans),1995,--,125,325.1,Functionally Obsolete
GOLD CANYON RD,LP 1604,0.68 MI E OF US 281,Prestressed Stringer/Multi-beam or girder (2 spans),1995,--,100.1,194.9,Functionally Obsolete
IH 10 WB EXIT RAMP,WURZBACH RD,4.80 MI S OF LP 1604,Prestressed Box beam or girders - Multiple (2 spans),1996,--,109.9,279.9,Functionally Obsolete
HUEBNER RD,DRAW,1.5 MI SW OF IH10,Concrete Culvert (9 spans),1996,--,12.1,106,Functionally Obsolete
