Item,Category,Price,Quantity Sold,Total Amount
COOKIE-CHOC CREME BAG,COOK&PSTRIES NON TAX,$3.29 ,448,"$1,473.92 "
WHITE RICE,FOOD NON TAX,$1.99 ,733,"$1,458.67 "
CRUNCH & MUNCH,CHIPS&SNCKS NON TAX,$3.24 ,441,"$1,428.84 "
9 X 12 ENVELOPE,GENERAL MERCHANDISE,$0.39 ,"3,657","$1,426.23 "
WORD-FIND PUZZLES,GENERAL MERCHANDISE,$4.19 ,337,"$1,412.03 "
ANTIFUNGAL CREAM,HEALTH & BTY NON TAX,$4.29 ,322,"$1,381.38 "
HOT TAMALES,CANDY,$1.39 ,993,"$1,380.27 "
OREO COOKIE,COOK&PSTRIES NON TAX,$1.29 ,"1,003","$1,293.87 "
CROC SZ 13 BLK,CLOTHING,$12.99 ,99,"$1,286.01 "
VIENNA SAUSAGE,FOOD NON TAX,$4.06 ,291,"$1,181.46 "
CROSSWORD PUZZLES,GENERAL MERCHANDISE,$4.12 ,277,"$1,141.24 "
CONTACT LENS SOLUTION,HEALTH & BEAUTY,$5.39 ,209,"$1,126.51 "
STYLING GEL,HEALTH & BEAUTY,$2.99 ,375,"$1,121.25 "
TASTERS CHOICE FREEZE DRIED SINGLE,BEVERAGE NON TAX,$0.69 ,"1,580","$1,090.20 "
CROC SZ 7 BLK,CLOTHING,$12.99 ,82,"$1,065.18 "
SPORK-WHITE,GENERAL MERCHANDISE,$0.56 ,"1,865","$1,044.40 "
MUSTARD 10PK,FOOD NON TAX,$1.19 ,796,$947.24 
DOMINOES,GENERAL MERCHANDISE,$5.89 ,160,$942.40 
COOKIE-OATMEAL RAISIN BAG,COOK&PSTRIES NON TAX,$3.10 ,264,$818.40 
CARD-FRIENDSHIP,GENERAL MERCHANDISE,$1.86 ,431,$801.66 
ACNE CREAM,HEALTH & BEAUTY,$3.36 ,235,$789.60 
READING GLASSES,EYEGLASSES,$9.99 ,75,$749.25 
FLEX PENCIL,GENERAL MERCHANDISE,$0.86 ,837,$719.82 
WORD-FIND PUZZLES,GENERAL MERCHANDISE,$3.99 ,180,$718.20 
HAM IN A BAG,FOOD NON TAX,$5.29 ,132,$698.28 
TOOTHBRUSH HOLDER,HEALTH & BEAUTY,$1.01 ,685,$691.85 
DICTIONARY,GENERAL MERCHANDISE,$4.11 ,157,$645.27 
DENTURE CREAM,HEALTH & BTY NON TAX,$5.29 ,118,$624.22 
SUDOKU PUZZLES,GENERAL MERCHANDISE,$4.19 ,148,$620.12 
HOT TAMALES,CANDY,$1.39 ,437,$607.43 
MIKE & IKE,CANDY,$1.39 ,428,$594.92 
BEEF JERKY PEPPERED,FOOD,$2.99 ,195,$583.05 
COOKIE-CHOC CREME BAG,COOK&PSTRIES NON TAX,$3.10 ,184,$570.40 
CELL ORGANIZER,GENERAL MERCHANDISE,$45.99 ,11,$505.89 
CONTACT CASE,HEALTH & BEAUTY,$4.06 ,122,$495.32 
SPANISH/ENGLISH DICTIONARY,GENERAL MERCHANDISE,$4.11 ,120,$493.20 
CHECKERS,GENERAL MERCHANDISE,$5.82 ,72,$419.04 
SHAVING CREAM,HEALTH & BEAUTY,$2.19 ,177,$387.63 
FOOT POWDER,HEALTH & BEAUTY,$3.29 ,112,$368.48 
CROC SZ 6 BLK,CLOTHING,$12.66 ,28,$354.48 
SUDOKU PUZZLES,GENERAL MERCHANDISE,$3.99 ,84,$335.16 
FUNYUNS,CHIPS&SNCKS NON TAX,$1.09 ,275,$299.75 
TOILET PAPER ROLL,HEALTH & BEAUTY,$1.16 ,179,$207.64 
SUNCHIPS HARVEST CHEDDAR,CHIPS&SNCKS NON TAX,$0.99 ,206,$203.94 
FOOT POWDER,HEALTH & BEAUTY,$3.19 ,58,$185.02 
SUGAR PACKETS 10EA,FOOD NON TAX,$0.49 ,314,$153.86 
SHAVING CREAM,HEALTH & BEAUTY,$2.09 ,72,$150.48 
BAKED LAYS,CHIPS&SNCKS NON TAX,$0.99 ,150,$148.50 
TWIN BEEF & CHEESE STICKS,FOOD NON TAX,$0.99 ,139,$137.61 
HONEY BBQ TWISTS,CHIPS&SNCKS NON TAX,$1.19 ,110,$130.90 
T-SHIRT LARGE,CLOTHING,$12.99 ,9,$116.91 
T-SHIRT 2XL,CLOTHING,$12.99 ,8,$103.92 
SALMON STEAKS,FOOD NON TAX,$3.08 ,30,$92.40 
TURKEY IN BAG,FOOD NON TAX,$5.29 ,17,$89.93 
CRYSTAL LIGHT LEMONADE,BEVERAGE,$0.79 ,109,$86.11 
SALAMI STICKS,FOOD NON TAX,$0.99 ,76,$75.24 
JALAPENO KETTLE CHIPS,CHIPS&SNCKS NON TAX,$1.19 ,52,$61.88 
CROC'S FOOTWEAR BLK SZ 5,CLOTHING,$13.99 ,4,$55.96 
T-SHIRT 3XL,CLOTHING,$12.99 ,4,$51.96 
T-SHIRT MED,CLOTHING,$12.99 ,4,$51.96 
DOVE CANDY BAR,CANDY,$1.29 ,25,$32.25 
SANITARY NAPKIN 12 EA,HEALTH & BTY NON TAX,$5.99 ,4,$23.96 
JACK MACKEREL BAG,FOOD NON TAX,$4.59 ,5,$22.95 
MILD SALSA CUP,FOOD NON TAX,$1.49 ,14,$20.86 
100 GRAND BAR,CANDY,$1.39 ,2,$2.78 
MAGIC SHAVE,HEALTH & BEAUTY,$3.99 ,0,$0.00 
SANITARY NAPKIN 12 EA,HEALTH & BTY NON TAX,$5.99 ,0,$0.00 
DOUCHE,HEALTH & BEAUTY,$3.49 ,0,$0.00 
MEATBALLS PK,FOOD NON TAX,$4.99 ,0,$0.00 
GO CART SPECIAL 2,FOOD NON TAX,$1.50 ,0,$0.00 
FUDGE BROWNIE EACH,COOK&PSTRIES NON TAX,$0.99 ,0,$0.00 
THANK YOU POST CARD,GENERAL MERCHANDISE,$0.00 ,0,$0.00 
T-SHIRT XL,CLOTHING,$12.99 ,0,$0.00 
