Name,Address,Zip,Amount
I-10 ICE HOUSE,9518 CONSOLE DR,78229,1251773
MI TIERRA CAFE & BAKERY,218 PRODUCE ROW,78207,3168736
DRURY PLAZA HOTEL - SAN ANTONIO RIVERWALK,105 S SAINT MARYS ST,78205,0
THE MELTING POT SAN ANTONIO,14855 BLANCO RD STE 110,78216,270150
MI CASA TAMALES & MORE,25930 INTERSTATE 10 W,78006,65209
BIKINI SPORTS BAR & GRILL,8224 FREDERICKSBURG RD,78229,241940
MITCHELL'S,1923 LOCKHILL SELMA RD # 106,78213,273329
TYCOON FLATS,2926 N SAINT MARYS ST,78212,418339
SMITTY'S PUB,4121 GARDENDALE ST,78229,334908
CAFE AMORE,4553 N LOOP 1604 W STE 1113,78249,14208
CLUB SPACE,229 E HOUSTON ST,78205,0
ONE TOWERS PARK LANE COOPERATIVE CO SOCIAL CLUB,ONE TOWERS PARK LANE,78209,43524
SALSALITO CANTINA,11703 BANDERA RD,78250,276523
HARDBODIES,2726 N SAINT MARYS,78212,206155
B P O E SAN ANTONIO #216,15650 MARKET HL,78256,15918
ROCKY'S TAVERN,11403 OCONNOR RD,78233,459425
WING DADDY'S SAUCE HOUSE #8,1115 SE MILITARY DR,78214,509833
MERCADO CONCESSIONS,7503 W US HIGHWAY 90,78227,66261
HALF TIME RESTAURANT,7126 TEZEL RD STE 107,78250,0
CLUB CONTINENTAL,3830 PARKDALE ST STE 103,78229,0
FISH CITY GRILL,18130 SAN PEDRO AVE STE 104,78232,245618
EVIL OLIVE,2950 THOUSAND OAKS DR STE 5,78247,481298
BUFFALO WILD WINGS,7903 PAT BOOKER RD,78233,953660
WAXY O'CONNORS IRISH PUB LLC,234 RIVERWALK,78205,1602176
FIZZ,1218 W BITTERS RD,78216,258139
BILLY D'S CLUB,1805 PAT BOOKER RD,78148,379736
CLOWN ALLEY INC.,5518 W MILITARY DR # 20,78242,205276
TONY ROMAS - SAN ANTONIO RIVERCENTER,849 E COMMERCE ST STE 171,78205,271258
THIRSTY HORSE SALOON,2335 NW MILITARY HWY,78231,1635557
BOURBON STREET SEAFOOD KITCHEN,24165 W INTERSTATE 10 STE 433,78257,214679
RAFFLES RESTAURANT & BAR,1039 NE LOOP 410,78209,356127
HOSPITALITY INTERNATIONAL INC,8615 BROADWAY ST,78217,53946
MORTON'S OF CHICAGO,849 E COMMERCE ST STE 283,78205,869368
GRAND RIVERWALK BEVERAGE LLC,600 E MARKET ST,78205,3468637
STACY'S SPORTSBAR,3805 BLANCO RD,78212,502871
J ALEXANDER'S RESTAURANT,255 E BASSE RD STE 1300,78209,842961
LEFTY'S DRAFT HOUSE,15179 JUDSON RD STE 101,78247,964077
THREE LEGGED MONKEY,2313 NW MILITARY HWY,78231,353777
HOOTERS-RIVERWALK OF SAN ANTONIO,849 E COMMERCE ST STE 105,78205,807104
"BARTON'S BOOZERY, INC.                            ",7050 W MILITARY DR,78227,420581
TEXAS ROADHOUSE - LIVE OAK,13830 IH 35 NORTH,78233,719483
THE LITTLE RED BARN STEAKHOUSE,1836 S HACKBERRY,78210,125612
"THE LONG BAR, INC.                                ",18402 US HIGHWAY 281 N STE 128,78259,1508078
VALLARTA GRILL & BAR MEXICAN RESTAURANT,6810 NW LOOP 410,78238,128581
ROXY SPORTS BAR,12000 E LOOP 1604 N,78148,520307
LAS PALAPAS AT THE FORUM,8151 AGORA PKWY,78154,17365
HONMACHI STEAK & SUSHI,11026 CULEBRA RD STE 109,78253,41311
CARINO'S ITALIAN GRILL,231 LOOP 410 SW,78238,158141
TITO'S MEXICAN RESTAURANT,955 S ALAMO ST,78205,260668
TACO CABANA,2908 BROADWAY,78209,69295
THE CULINARY INSTITUTE OF AMERICA/NAO,312 PEARL PKWY BLDG 2,78215,308965
MARY ELLEN'S SOUTHERN BISTRO,2801 PAT BOOKER RD,78148,44776
JOSEPHINE STREET CAFE,400 E JOSEPHINE ST,78215,325110
LONGHORN STEAKHOUSE #5360,5803 N LOOP 1604 W,78249,241637
IVORY LOUNGE,5152 FREDERICKSBURG RD STE 150,78229,199044
JEWISH COMMUNITY CENTER OF SAN ANTONIO,12500 NW MILITARY HWY STE 275,78231,0
SCUZZI ITALIAN GRILL,4035 N LOOP 1604 W # 102,78257,345796
OASIS,502 EMBASSY OAKS STE 142,78216,361025
EL JARRO DE ARTURO,13421 SAN PEDRO AVE,78216,1166370
LA POSADA DEL REY,1896 NACOGDOCHES RD,78209,118477
EL MARACUMBE #2,1518 AUSTIN HWY STE 17,78218,36277
WILLIE'S GRILL & ICEHOUSE #2,15801 SAN PEDRO AVE,78232,544410
HOLIDAY INN HOTEL SAN ANTONIO INTERNATIONAL AIRPOR,77 NE LOOP 410,78216,385966
ROOKIES BAR,6402 CALLAGHAN RD,78229,533107
TOM'S CATS,4922 W MILITARY DR,78242,82695
POMPEII ITALIAN GRILL,16109 NACOGDOCHES RD,78247,154736
SHADY LADY SALOON,3603 S WW WHITE RD,78222,291097
ST. JOHNS MEN CLUB (A PARISH ORGANIZATION),3875 N SAINT MARYS ST,78212,39949
HILL COUNTRY BEVERAGES INC,318 E HOUSTON ST,78205,813407
HEMINGWAYS TAVERN,8931 WURZBACH RD,78240,192399
TACO CABANA,12030 PERRIN BEITEL,78217,39389
RUBY TUESDAY #5905,9818 W INTERSTATE 10,78258,135928
PICO DE GALLO RESTAURANTE,111 S LEONA ST,78207,381005
SEAWORLD SAN ANTONIO,10500 SEA WORLD DR,78251,1701921
ZIO'S ITALIAN KITCHEN,12858 W INTERSTATE 10,78249,159554
HRHC INC,9800 HYATT RESORT DR,78251,4716056
TRAILER TRASH PARTY,3801 BROADWAY ST,78209,0
LA HACIENDA DE LOS BARRIOS,18747 REDLAND RD,78259,1275733
CASA RIO MEXICAN FOODS,430 E COMMERCE ST,78205,1762464
ROMANO'S MACARONI GRILL,8355 AGORA PKWY,78154,364868
HALCYON STELLA PUBLIC HOUSE,1414 S ALAMO ST STE 101,78210,800308
TO WHO KNOWS,5660 FM 78,78219,398738
CORNER POCKET GRILL,2363 AUSTIN HWY,78218,83697
LIBERTY BAR,1111 S ALAMO ST,78210,503271
CARRABBA'S ITALIAN GRILL,12507 W INTERSTATE 10,78230,505423
LOCOE'S SPORTS BAR,1375 AUSTIN HWY,78209,107744
"PIZZA BAR, LLC                                    ",2720 MCCULLOUGH AVE,78212,590654
"POLLO TROPICAL BEVERAGES, LLC                     ",838 E BITTERS RD,78216,4047
SALTGRASS STEAKHOUSE,11812 BANDERA RD,78023,544440
BITE,1012 S PRESA ST,78210,129624
MIDTOWN CLUB,2014 E HOUSTON ST,78202,151125
"THE GRILL AT LEON SPRINGS, LTD                    ",24116 IH 10 W,78257,1398113
ST LUKES SCHOOL SUPPLY,4603 MANITOU DR,78228,5383
GOODTIME CHARLIE'S,2922 BROADWAY ST,78209,186906
MEXICAN MANHATTAN RESTAURANT INC,110 SOLEDAD ST,78205,388983
CABANA BEVERAGES INC,1130 N FM1604 WEST #105,78248,27924
